,SubjectID,TestType,TotalTrials,Datestr,TrialNo,TrialStartTime,Correct,ReactionTime_s,HitRT_s,HitMiss,crossChange,crossOnset_s,TrialIdx,Change,TargetOnset,TargetAz,TargetEl,Sources,Mono,sL1,sF1,sL2,sF2,sL3,sF3,sL4,sF4,sL5,sF5,sL6,sF6,sL7,sF7,sL8,sF8,Threshold,Std
0,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,1,29:23.4,1,,,2,0,1.034,1,0,4.692,162,32,5,0,23,9,31,6,7,8,9,12,5,3,20,17,1,17,26,17,13.12,3.2594489969333855
1,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,2,29:34.0,1,5.074150800704956,0.5571508007049557,1,0,4.601,2,1,4.517,162,32,8,0,23,14,11,4,21,1,13,16,3,5,16,12,25,8,24,3,13.12,3.2594489969333855
2,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,3,29:44.6,1,4.946074009,0.4690740089416501,1,0,3.735,3,1,4.477,342,56,5,0,26,14,2,3,3,2,24,4,30,5,20,17,1,17,26,17,13.12,3.2594489969333855
3,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,4,29:55.3,1,5.416426897,0.7384268970489503,1,0,3.079,4,1,4.678,54,-56,7,0,2,14,11,8,3,16,23,3,17,6,24,11,19,12,20,17,13.12,3.2594489969333855
4,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,5,30:06.2,1,5.149071931838989,0.5310719318389889,1,0,4.487,5,1,4.618,198,-56,4,0,4,10,20,1,22,3,10,4,1,17,26,17,11,17,6,17,13.12,3.2594489969333855
5,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,6,30:17.2,1,,,2,0,7.376,6,0,4.613,162,-32,5,0,8,14,26,2,27,12,18,3,20,16,1,17,11,17,6,17,13.12,3.2594489969333855
6,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,7,30:28.2,1,5.049340963363648,0.5943409633636474,1,0,3.775,7,1,4.455,162,32,7,0,23,7,21,2,2,12,14,16,16,11,9,3,20,1,1,17,13.12,3.2594489969333855
7,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,8,30:39.2,1,5.570282936096191,0.6902829360961915,1,0,1.146,8,1,4.88,54,56,4,0,27,14,11,12,4,5,30,2,20,17,1,17,26,17,6,17,13.12,3.2594489969333855
8,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,9,30:50.1,1,4.967624903,0.5096249027252195,1,0,7.209,9,1,4.458,54,56,8,0,27,10,6,5,26,4,2,12,16,3,8,2,30,1,25,16,13.12,3.2594489969333855
9,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,10,31:00.6,1,,,2,0,2.294,10,0,4.019,198,56,7,0,29,14,21,16,13,5,3,3,15,8,9,12,19,4,20,17,13.12,3.2594489969333855
10,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,11,31:11.0,1,4.839612961,0.6056129608154297,1,0,7.5,11,1,4.234,126,-56,6,0,3,7,31,2,12,8,29,16,9,11,10,3,20,17,1,17,13.12,3.2594489969333855
11,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,12,31:21.5,1,4.887152910232544,0.5911529102325437,1,0,1.954,12,1,4.296,0,90,6,0,31,7,13,11,14,5,4,16,24,12,20,8,1,17,26,17,13.12,3.2594489969333855
12,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,13,31:32.0,1,,,2,0,2.535,13,0,4.287,54,-56,7,0,2,15,31,6,22,8,8,4,17,2,18,1,25,11,20,17,13.12,3.2594489969333855
13,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,14,31:42.7,1,,,2,0,4.121,14,0,4.324,252,0,5,0,18,15,21,4,14,12,8,5,30,1,20,17,1,17,26,17,13.12,3.2594489969333855
14,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,15,31:52.7,1,4.569867134094238,0.507867134,1,0,6.635,15,1,4.062,18,-32,6,0,6,15,22,8,3,2,16,5,17,11,10,1,20,17,1,17,13.12,3.2594489969333855
15,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,16,32:03.2,1,,,2,0,6.517,16,0,4.215,252,0,4,0,18,7,11,11,22,5,16,1,20,17,1,17,26,17,6,17,13.12,3.2594489969333855
16,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,17,32:13.3,0,8.520678281784058,,4,0,1.431,17,0,4.828,18,-32,8,0,6,14,21,3,13,12,22,5,29,2,8,6,19,1,18,11,13.12,3.2594489969333855
17,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,18,32:24.0,1,,,2,0,7.089,18,0,4.857,234,32,4,0,24,14,1,2,28,16,29,6,20,17,26,17,11,17,6,17,13.12,3.2594489969333855
18,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,19,32:34.6,1,,,2,0,2.46,19,0,4.503,234,32,6,0,24,7,21,1,12,5,14,3,23,11,25,2,20,17,1,17,13.12,3.2594489969333855
19,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,20,32:44.8,0,8.590616941452026,,4,0,2.097,20,0,4.886,270,-56,7,0,5,9,1,1,2,5,7,12,8,3,16,16,30,11,20,17,13.12,3.2594489969333855
20,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,21,32:55.3,1,,,2,0,2.961,21,0,4.152,126,-56,6,0,3,10,21,8,22,16,8,1,17,12,19,3,20,17,1,17,13.12,3.2594489969333855
21,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,22,33:05.3,1,4.904763221740723,0.8307632217407228,1,0,7.265,22,1,4.074,0,0,5,0,11,7,13,12,16,1,29,6,25,16,20,17,1,17,26,17,13.12,3.2594489969333855
22,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,23,33:15.9,1,,,2,0,5.916,23,0,4.104,306,32,6,0,25,10,26,1,12,4,3,3,4,8,9,16,20,17,1,17,13.12,3.2594489969333855
