,SubjectID,TestType,Datestr,TrialNo,TrialStartTime,Correct,ReactionTime_s,HitRT_s,HitMiss,crossChange,crossOnset_s,index,TrialIdx,Change,TargetOnset,TargetAz,TargetEl,Sources,sL1,sF1,sL2,sF2,sL3,sF3,sL4,sF4,sL5,sF5,sL6,sF6,sL7,sF7,sL8,sF8,TargetSource
0,1,Behaviour_MultipleSources,2023-04-24_10-22-48,1,28:52.1,0,6.883983850479126,,4,0,4.81,0,1,0,4.125,72,0,8,13,3,26,16,20,7,3,13,23,1,17,8,5,4,10,15,right
1,1,Behaviour_MultipleSources,2023-04-24_10-22-48,2,29:01.7,1,,,2,0,4.594,0,2,0,4.186,252,0,5,18,11,6,4,13,13,16,1,5,2,20,17,1,17,26,17,left
2,1,Behaviour_MultipleSources,2023-04-24_10-22-48,3,29:11.5,1,,,2,0,4.231,0,3,0,4.244,72,0,8,13,14,12,1,31,6,3,16,8,12,15,5,25,4,10,15,right
3,1,Behaviour_MultipleSources,2023-04-24_10-22-48,4,29:21.2,1,,,2,0,4.285,0,4,0,4.418,0,90,7,31,11,2,13,7,1,15,15,17,5,30,2,5,8,20,17,top
4,1,Behaviour_MultipleSources,2023-04-24_10-22-48,5,29:31.2,1,,,2,0,4.692,0,5,0,4.862,0,0,8,11,3,26,1,3,5,27,4,15,13,8,12,25,2,18,6,front
5,1,Behaviour_MultipleSources,2023-04-24_10-22-48,6,29:41.6,1,,,2,0,4.917,0,6,0,4.14,0,0,5,11,10,2,5,15,7,4,1,20,8,1,17,26,17,11,17,front
6,1,Behaviour_MultipleSources,2023-04-24_10-22-48,7,29:51.2,1,4.999309778213501,0.9793097782135014,1,0,4.398,0,7,1,4.02,180,0,4,16,3,21,15,28,7,5,2,20,17,1,17,26,17,11,17,back
7,1,Behaviour_MultipleSources,2023-04-24_10-22-48,8,30:00.8,1,,,2,0,4.866,0,8,0,4.598,0,90,4,31,14,13,8,8,7,19,6,20,17,1,17,26,17,11,17,top
8,1,Behaviour_MultipleSources,2023-04-24_10-22-48,9,30:11.0,1,,,2,0,4.393,0,9,0,4.786,180,0,8,16,14,21,2,26,6,14,7,13,4,16,1,9,8,5,5,back
9,1,Behaviour_MultipleSources,2023-04-24_10-22-48,10,30:21.3,1,4.854464054107666,0.6884640541076656,1,0,4.141,0,10,1,4.166,0,0,4,11,10,7,12,17,1,24,8,20,17,1,17,26,17,11,17,front
10,1,Behaviour_MultipleSources,2023-04-24_10-22-48,11,30:31.0,1,5.560057878494263,1.4880578784942626,1,0,4.589,0,11,1,4.072,72,0,6,13,14,21,12,3,15,29,6,18,16,25,2,20,17,1,17,right
11,1,Behaviour_MultipleSources,2023-04-24_10-22-48,12,32:40.5,1,5.522521973,0.5775219726562497,1,0,4.754,0,12,1,4.945,72,0,4,13,10,1,1,15,15,5,6,20,17,26,17,11,17,6,17,right
12,1,Behaviour_MultipleSources,2023-04-24_10-22-48,13,32:51.1,1,4.937932968139648,0.6699329681396486,1,0,4.467,0,13,1,4.268,0,0,8,11,10,26,15,3,6,7,5,17,16,16,2,30,7,18,13,front
13,1,Behaviour_MultipleSources,2023-04-24_10-22-48,14,33:00.9,1,,,2,0,4.928,0,14,0,4.197,180,0,5,16,3,21,16,7,1,9,2,20,13,1,17,26,17,11,17,back
14,1,Behaviour_MultipleSources,2023-04-24_10-22-48,15,33:10.7,1,,,2,0,4.65,0,15,0,4.694,0,90,5,31,14,13,1,23,16,18,2,25,6,20,17,1,17,26,17,top
15,1,Behaviour_MultipleSources,2023-04-24_10-22-48,16,33:20.9,1,,,2,0,4.663,0,16,0,4.308,0,0,7,11,10,12,5,3,1,23,6,16,13,30,12,5,2,20,17,front
16,1,Behaviour_MultipleSources,2023-04-24_10-22-48,17,33:30.8,1,5.698405742645264,0.8234057426452637,1,0,4.801,0,17,1,4.875,0,0,6,11,3,27,2,14,6,4,5,17,12,25,1,20,17,1,17,front
17,1,Behaviour_MultipleSources,2023-04-24_10-22-48,18,33:41.2,1,5.4073569774627686,0.7583569774627685,1,0,4.81,0,18,1,4.649,0,90,7,31,9,2,6,22,13,15,16,4,12,18,8,5,2,20,17,top
18,1,Behaviour_MultipleSources,2023-04-24_10-22-48,19,33:51.4,1,,,2,0,4.582,0,19,0,4.572,180,0,6,16,10,6,6,12,2,28,15,24,1,19,7,20,17,1,17,back
19,1,Behaviour_MultipleSources,2023-04-24_10-22-48,20,34:01.5,1,4.955440998077393,0.5884409980773926,1,0,4.222,0,20,1,4.367,0,90,6,31,10,13,13,3,2,4,12,18,4,19,1,20,17,1,17,top
