wav_number,Change,TargetOnset,Sources,Mono,sL1,sF1,sA1,sE1,sL2,sF2,sA2,sE2,sL3,sF3,sA3,sE3,sL4,sF4,sA4,sE4,sL5,sF5,sA5,sE5,sL6,sF6,sA6,sE6,sL7,sF7,sA7,sE7,sL8,sF8,sA8,sE8,subject,test_type,datestr
1,0,4.0,6,0,11,7,0,0,27,1,54,56,3,12,126,-56,4,16,198,-56,5,5,270,-56,25,11,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
2,0,4.0,6,0,16,10,180,0,26,11,342,56,22,3,90,32,14,6,108,0,17,1,216,0,25,2,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
3,1,4.0,6,0,16,15,180,0,1,2,342,-56,27,12,54,56,28,16,126,56,17,8,216,0,19,4,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
4,1,4.0,6,0,11,7,0,0,13,5,72,0,3,4,126,-56,16,8,180,0,30,11,270,56,20,2,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
5,0,4.0,6,0,13,9,72,0,26,12,342,56,15,6,144,0,16,16,180,0,17,4,216,0,10,5,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
6,1,4.0,6,0,31,14,0,90,13,11,72,0,14,6,108,0,4,5,198,-56,5,16,270,-56,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
7,0,4.0,6,0,31,7,0,90,27,5,54,56,3,2,126,-56,4,6,198,-56,18,12,252,0,20,4,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
8,1,4.0,6,0,13,14,72,0,11,12,0,0,3,5,126,-56,4,11,198,-56,30,6,270,56,20,1,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
9,0,4.0,6,0,31,10,0,90,22,4,90,32,3,5,126,-56,8,12,162,-32,24,6,234,32,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
10,1,4.0,6,0,16,10,180,0,26,5,342,56,27,6,54,56,28,4,126,56,17,1,216,0,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
11,1,4.0,6,0,31,7,0,90,13,6,72,0,3,8,126,-56,8,11,162,-32,30,5,270,56,20,1,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
12,0,4.0,6,0,31,15,0,90,12,12,36,0,14,3,108,0,16,16,180,0,9,2,234,-32,20,6,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
13,0,4.0,6,0,31,14,0,90,12,1,36,0,15,3,144,0,8,4,162,-32,5,11,270,-56,25,5,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
14,0,4.0,6,0,11,14,0,0,27,8,54,56,14,11,108,0,8,5,162,-32,30,6,270,56,19,1,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
15,0,4.0,6,0,11,15,0,0,2,6,54,-56,3,11,126,-56,29,16,198,56,17,5,216,0,10,12,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
16,1,4.0,6,0,13,10,72,0,6,12,18,-32,15,8,144,0,23,4,162,32,30,5,270,56,19,2,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
17,0,4.0,6,0,18,14,252,0,11,8,0,0,7,1,90,-32,15,2,144,0,8,16,162,-32,19,4,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
18,1,4.0,6,0,11,7,0,0,13,4,72,0,14,16,108,0,16,11,180,0,17,3,216,0,10,12,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
19,0,4.0,6,0,11,15,0,0,22,4,90,32,3,3,126,-56,23,12,162,32,24,11,234,32,19,2,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
20,0,4.0,6,0,13,15,72,0,21,8,18,32,28,3,126,56,16,16,180,0,5,1,270,-56,20,2,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
21,1,4.0,6,0,16,14,180,0,26,4,342,56,13,3,72,0,14,2,108,0,18,12,252,0,10,11,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
22,0,4.0,6,0,16,7,180,0,26,3,342,56,7,1,90,-32,15,2,144,0,18,12,252,0,19,11,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
23,0,4.0,6,0,31,9,0,90,12,11,36,0,28,5,126,56,23,1,162,32,18,16,252,0,25,8,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
24,1,4.0,6,0,18,15,252,0,1,16,342,-56,7,3,90,-32,3,2,126,-56,8,8,162,-32,19,11,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
25,1,4.0,6,0,13,15,72,0,11,4,0,0,14,2,108,0,23,12,162,32,17,6,216,0,10,11,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
26,1,4.0,6,0,31,10,0,90,12,12,36,0,28,8,126,56,8,2,162,-32,5,16,270,-56,25,6,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
27,0,4.0,6,0,31,7,0,90,7,6,90,-32,3,1,126,-56,4,16,198,-56,24,8,234,32,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
28,0,4.0,6,0,13,10,72,0,31,8,0,90,14,6,108,0,29,2,198,56,9,5,234,-32,20,11,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
29,0,4.0,6,0,11,10,0,0,27,8,54,56,28,11,126,56,4,12,198,-56,18,4,252,0,19,6,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
30,0,4.0,6,0,13,10,72,0,26,8,342,56,14,16,108,0,8,11,162,-32,17,5,216,0,25,12,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
31,1,4.0,6,0,11,15,0,0,13,2,72,0,28,8,126,56,4,6,198,-56,24,5,234,32,19,11,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
32,0,4.0,6,0,31,15,0,90,13,5,72,0,15,4,144,0,4,1,198,-56,5,16,270,-56,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
33,0,4.0,6,0,16,7,180,0,1,11,342,-56,27,12,54,56,28,16,126,56,9,2,234,-32,10,1,306,-32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
34,1,4.0,6,0,13,14,72,0,6,6,18,-32,14,1,108,0,29,12,198,56,5,3,270,-56,19,4,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
35,1,4.0,6,0,31,9,0,90,7,8,90,-32,14,3,108,0,4,5,198,-56,5,6,270,-56,25,16,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
36,1,4.0,6,0,13,14,72,0,31,2,0,90,14,11,108,0,23,5,162,32,30,1,270,56,20,8,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
37,0,4.0,6,0,11,9,0,0,13,2,72,0,15,11,144,0,8,6,162,-32,5,12,270,-56,20,5,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
38,1,4.0,6,0,16,10,180,0,1,12,342,-56,27,11,54,56,15,5,144,0,5,3,270,-56,19,4,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
39,1,4.0,6,0,11,15,0,0,22,4,90,32,3,6,126,-56,8,1,162,-32,30,8,270,56,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
40,0,4.0,6,0,13,15,72,0,6,6,18,-32,28,1,126,56,4,5,198,-56,9,12,234,-32,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
41,1,4.0,6,0,11,9,0,0,7,12,90,-32,3,2,126,-56,4,11,198,-56,30,5,270,56,10,4,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
42,1,4.0,6,0,18,14,252,0,26,2,342,56,7,11,90,-32,14,3,108,0,23,8,162,32,25,12,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
43,0,4.0,6,0,18,15,252,0,21,4,18,32,13,8,72,0,28,16,126,56,29,2,198,56,10,12,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
44,0,4.0,6,0,11,14,0,0,2,12,54,-56,14,2,108,0,16,16,180,0,9,11,234,-32,19,6,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
45,0,4.0,6,0,16,9,180,0,21,1,18,32,7,8,90,-32,15,5,144,0,17,2,216,0,19,3,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
46,1,4.0,6,0,16,10,180,0,31,11,0,90,22,1,90,32,3,4,126,-56,17,5,216,0,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
47,0,4.0,6,0,16,9,180,0,11,12,0,0,13,2,72,0,3,6,126,-56,9,8,234,-32,19,1,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
48,0,4.0,6,0,13,7,72,0,31,12,0,90,14,3,108,0,4,5,198,-56,30,8,270,56,10,1,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
49,0,4.0,6,0,13,9,72,0,21,12,18,32,28,4,126,56,16,3,180,0,9,8,234,-32,19,1,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
50,0,4.0,6,0,16,14,180,0,31,4,0,90,12,2,36,0,14,6,108,0,30,1,270,56,10,8,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
51,0,4.0,6,0,18,7,252,0,26,3,342,56,13,12,72,0,28,4,126,56,29,2,198,56,10,16,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
52,0,4.0,6,0,16,9,180,0,11,12,0,0,13,4,72,0,3,6,126,-56,5,8,270,-56,20,3,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
53,0,4.0,6,0,11,7,0,0,12,12,36,0,15,5,144,0,23,6,162,32,18,1,252,0,10,3,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
54,0,4.0,6,0,13,15,72,0,1,4,342,-56,15,1,144,0,23,12,162,32,24,2,234,32,10,11,306,-32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
55,1,4.0,6,0,11,9,0,0,2,2,54,-56,15,16,144,0,8,12,162,-32,17,6,216,0,10,4,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
56,0,4.0,6,0,18,14,252,0,31,12,0,90,7,2,90,-32,14,5,108,0,4,4,198,-56,19,3,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
57,1,4.0,6,0,31,10,0,90,22,2,90,32,28,8,126,56,4,1,198,-56,30,3,270,56,19,4,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
58,1,4.0,6,0,18,7,252,0,26,8,342,56,22,16,90,32,3,6,126,-56,29,3,198,56,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
59,0,4.0,6,0,18,10,252,0,6,16,18,-32,27,2,54,56,14,6,108,0,23,8,162,32,20,4,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
60,1,4.0,6,0,16,14,180,0,26,3,342,56,22,5,90,32,15,12,144,0,5,8,270,-56,20,6,324,0,1,17,342,-56,11,17,0,0,P0107,binaural,2024-06-04_13-50-10
61,1,4.0,6,0,18,10,252,0,6,11,18,-32,2,16,54,-56,14,8,108,0,8,4,162,-32,10,1,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
62,1,4.0,6,0,13,15,72,0,31,11,0,90,3,1,126,-56,16,5,180,0,9,3,234,-32,10,12,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
63,0,4.0,6,0,11,15,0,0,2,2,54,-56,15,16,144,0,8,4,162,-32,17,1,216,0,25,5,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
64,1,4.0,6,0,18,9,252,0,1,5,342,-56,27,6,54,56,3,4,126,-56,23,1,162,32,19,3,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
65,0,4.0,6,0,11,7,0,0,12,5,36,0,28,8,126,56,29,1,198,56,17,6,216,0,10,16,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
66,0,4.0,6,0,11,10,0,0,22,5,90,32,3,11,126,-56,4,3,198,-56,9,4,234,-32,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
67,1,4.0,6,0,18,10,252,0,6,1,18,-32,22,11,90,32,3,2,126,-56,8,16,162,-32,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
68,1,4.0,6,0,16,15,180,0,6,3,18,-32,13,8,72,0,15,6,144,0,17,12,216,0,10,11,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
