Total_sources,SourcesPerQuadrant,Quadrant,Speaker,Az,El,Distance,TargetSource
8,2,1,20,324,0,1,0
8,2,1,1,342,-56,1,0
8,2,1,26,342,56,1,0
8,2,1,11,0,0,1,front
8,2,1,6,18,-32,1,0
8,2,1,21,18,32,1,0
8,2,1,12,36,0,1,0
8,2,1,31,0,90,1,top
8,2,2,27,54,56,1,0
8,2,2,2,54,-56,1,0
8,2,2,13,72,0,1,left
8,2,2,7,90,-32,1,0
8,2,2,22,90,32,1,0
8,2,2,14,108,0,1,0
8,2,2,3,126,-56,1,0
8,2,2,28,126,56,1,0
8,2,3,15,144,0,1,0
8,2,3,8,162,-32,1,0
8,2,3,23,162,32,1,0
8,2,3,16,180,0,1,back
8,2,3,4,198,-56,1,0
8,2,3,29,198,56,1,0
8,2,3,17,216,0,1,0
8,2,4,9,234,-32,1,0
8,2,4,24,234,32,1,0
8,2,4,18,252,0,1,right
8,2,4,30,270,56,1,0
8,2,4,5,270,-56,1,0
8,2,4,19,288,0,1,0
8,2,4,10,306,-32,1,0
8,2,4,25,306,32,1,0
7,1,7,20,324,0,1,0
7,1,1,1,342,-56,1,0
7,1,1,26,342,56,1,0
7,1,1,11,0,0,1,front
7,1,1,6,18,-32,1,0
7,1,1,21,18,32,1,0
7,1,2,12,36,0,1,0
7,1,1,31,0,90,1,top
7,1,2,27,54,56,1,0
7,1,2,2,54,-56,1,0
7,1,2,13,72,0,1,left
7,1,3,7,90,-32,1,0
7,1,3,22,90,32,1,0
7,1,3,14,108,0,1,0
7,1,3,3,126,-56,1,0
7,1,4,28,126,56,1,0
7,1,4,15,144,0,1,0
7,1,4,8,162,-32,1,0
7,1,4,23,162,32,1,0
7,1,5,16,180,0,1,back
7,1,5,4,198,-56,1,0
7,1,5,29,198,56,1,0
7,1,5,17,216,0,1,0
7,1,6,9,234,-32,1,0
7,1,6,24,234,32,1,0
7,1,6,18,252,0,1,right
7,1,6,30,270,56,1,0
7,1,7,5,270,-56,1,0
7,1,7,19,288,0,1,0
7,1,7,10,306,-32,1,0
7,1,7,25,306,32,1,0
6,1,6,20,324,0,1,0
6,1,1,1,342,-56,1,0
6,1,1,26,342,56,1,0
6,1,1,11,0,0,1,front
6,1,1,6,18,-32,1,0
6,1,1,21,18,32,1,0
6,1,2,12,36,0,1,0
6,1,1,31,0,90,1,top
6,1,2,27,54,56,1,0
6,1,2,2,54,-56,1,0
6,1,2,13,72,0,1,left
6,1,2,7,90,-32,1,0
6,1,2,22,90,32,1,0
6,1,3,14,108,0,1,0
6,1,3,3,126,-56,1,0
6,1,3,28,126,56,1,0
6,1,3,15,144,0,1,0
6,1,4,8,162,-32,1,0
6,1,4,23,162,32,1,0
6,1,4,16,180,0,1,back
6,1,4,4,198,-56,1,0
6,1,4,29,198,56,1,0
6,1,5,17,216,0,1,0
6,1,5,9,234,-32,1,0
6,1,5,24,234,32,1,0
6,1,5,18,252,0,1,right
6,1,5,30,270,56,1,0
6,1,5,5,270,-56,1,0
6,1,6,19,288,0,1,0
6,1,6,10,306,-32,1,0
6,1,6,25,306,32,1,0
5,1,5,20,324,0,1,0
5,1,1,1,342,-56,1,0
5,1,1,26,342,56,1,0
5,1,1,11,0,0,1,front
5,1,1,6,18,-32,1,0
5,1,1,21,18,32,1,0
5,1,1,12,36,0,1,0
5,1,1,31,0,90,1,top
5,1,2,27,54,56,1,0
5,1,2,2,54,-56,1,0
5,1,2,13,72,0,1,left
5,1,2,7,90,-32,1,0
5,1,2,22,90,32,1,0
5,1,2,14,108,0,1,0
5,1,3,3,126,-56,1,0
5,1,3,28,126,56,1,0
5,1,3,15,144,0,1,0
5,1,3,8,162,-32,1,0
5,1,3,23,162,32,1,0
5,1,3,16,180,0,1,back
5,1,4,4,198,-56,1,0
5,1,4,29,198,56,1,0
5,1,4,17,216,0,1,0
5,1,4,9,234,-32,1,0
5,1,4,24,234,32,1,0
5,1,4,18,252,0,1,right
5,1,5,30,270,56,1,0
5,1,5,5,270,-56,1,0
5,1,5,19,288,0,1,0
5,1,5,10,306,-32,1,0
5,1,5,25,306,32,1,0
4,1,1,20,324,0,1,0
4,1,1,1,342,-56,1,0
4,1,1,26,342,56,1,0
4,1,1,11,0,0,1,front
4,1,1,6,18,-32,1,0
4,1,1,21,18,32,1,0
4,1,1,12,36,0,1,0
4,1,1,31,0,90,1,top
4,1,2,27,54,56,1,0
4,1,2,2,54,-56,1,0
4,1,2,13,72,0,1,left
4,1,2,7,90,-32,1,0
4,1,2,22,90,32,1,0
4,1,2,14,108,0,1,0
4,1,2,3,126,-56,1,0
4,1,2,28,126,56,1,0
4,1,3,15,144,0,1,0
4,1,3,8,162,-32,1,0
4,1,3,23,162,32,1,0
4,1,3,16,180,0,1,back
4,1,3,4,198,-56,1,0
4,1,3,29,198,56,1,0
4,1,3,17,216,0,1,0
4,1,4,9,234,-32,1,0
4,1,4,24,234,32,1,0
4,1,4,18,252,0,1,right
4,1,4,30,270,56,1,0
4,1,4,5,270,-56,1,0
4,1,4,19,288,0,1,0
4,1,4,10,306,-32,1,0
4,1,4,25,306,32,1,0
